Year;Canton;"Total - Durchschnittl.
Mietpreis 
pro m2";"Total - Vertrauens-intervall: 
± (in CHF)";"F1 - Durchschnittl.
Mietpreis 
pro m2";"F1 - Vertrauens-intervall: 
± (in CHF)";"F2 - Durchschnittl.
Mietpreis 
pro m2";"F2 - Vertrauens-intervall: 
± (in CHF)";"F3 - Durchschnittl.
Mietpreis 
pro m2";"F3 - Vertrauens-intervall: 
± (in CHF)";"F4 - Durchschnittl.
Mietpreis 
pro m2";"F4 - Vertrauens-intervall: 
± (in CHF)";"F5 - Durchschnittl.
Mietpreis 
pro m2";"F5 - Vertrauens-intervall: 
± (in CHF)";"F6+ - Durchschnittl.
Mietpreis 
pro m2";"F6+ - Vertrauens-intervall: 
± (in CHF)"
2019;Bern;15,0 ;0,1 ;16,5 ;1,0 ;16,2 ;0,3 ;15,1 ;0,2 ;14,5 ;0,1 ;13,8 ;0,3 ;14,4 ;1,0 
2019;Luzern;15,5 ;0,1 ;21,1 ;1,3 ;17,4 ;0,4 ;15,9 ;0,2 ;14,7 ;0,1 ;14,4 ;0,3 ;14,2 ;0,8 
2019;Uri;13,1 ;0,6 ;X   ;*   ;(13,8) ;(1,8) ;13,7 ;0,9 ;13,1 ;0,6 ;(11,8) ;(2,5) ;(11,4) ;(2,1) 
2019;Schwyz;16,6 ;0,3 ;(14,4) ;(2,8) ;17,9 ;1,2 ;17,0 ;0,6 ;16,4 ;0,4 ;15,9 ;0,8 ;(17,0) ;(1,8) 
2019;Obwalden;14,2 ;0,5 ;(13,5) ;(5,1) ;(14,8) ;(2,6) ;14,3 ;1,0 ;13,9 ;0,7 ;14,2 ;1,3 ;(14,4) ;(2,1) 
2019;Nidwalden;15,7 ;0,5 ;(16,7) ;(4,5) ;17,4 ;2,0 ;16,5 ;0,8 ;15,0 ;0,6 ;14,8 ;1,0 ;(14,7) ;(2,0) 
2019;Glarus;12,7 ;0,5 ;(8,8) ;(4,4) ;(14,6) ;(1,9) ;13,0 ;0,8 ;12,7 ;0,6 ;(12,2) ;(1,3) ;(11,2) ;(1,7) 
2019;Zug;19,5 ;0,2 ;22,3 ;3,1 ;21,5 ;0,9 ;20,1 ;0,4 ;18,7 ;0,3 ;18,4 ;0,6 ;19,1 ;1,6 
2019;Freiburg;14,6 ;0,2 ;17,2 ;1,5 ;16,9 ;0,6 ;14,5 ;0,3 ;14,0 ;0,3 ;13,7 ;0,6 ;12,0 ;1,0 
2019;Solothurn;13,9 ;0,2 ;16,3 ;2,0 ;15,4 ;0,6 ;13,9 ;0,3 ;13,5 ;0,3 ;12,5 ;0,6 ;14,2 ;1,9 
2019;Basel-Stadt;18,2 ;0,2 ;20,1 ;1,2 ;19,1 ;0,4 ;17,7 ;0,3 ;17,7 ;0,4 ;18,3 ;0,8 ;(19,4) ;(2,6) 
2019;Basel-Landschaft;16,8 ;0,2 ;16,7 ;2,0 ;18,3 ;0,9 ;17,0 ;0,3 ;16,6 ;0,3 ;15,2 ;0,8 ;16,9 ;1,7 
2019;Schaffhausen;13,6 ;0,3 ;(13,8) ;(2,5) ;16,0 ;0,9 ;13,4 ;0,5 ;12,9 ;0,5 ;14,7 ;1,0 ;(12,1) ;(1,6) 
2019;Appenzell A.Rh.;12,9 ;0,6 ;(13,6) ;(8,5) ;(11,3) ;(2,2) ;13,4 ;0,9 ;13,3 ;0,8 ;(12,2) ;(1,0) ;(12,8) ;(2,9) 
2019;Appenzell I.Rh.;14,8 ;0,9 ;X   ;*   ;(14,7) ;(2,7) ;(15,7) ;(1,7) ;(15,2) ;(1,6) ;(13,7) ;(1,5) ;(11,4) ;(2,1) 
2019;St.Gallen;14,2 ;0,1 ;16,0 ;1,4 ;15,6 ;0,5 ;14,5 ;0,3 ;13,7 ;0,2 ;13,3 ;0,3 ;13,3 ;0,7 
2019;Graubünden;15,2 ;0,3 ;16,6 ;1,8 ;17,3 ;1,0 ;15,8 ;0,5 ;14,5 ;0,4 ;13,3 ;0,8 ;(14,3) ;(2,1) 
2019;Aargau;15,2 ;0,1 ;18,1 ;1,3 ;17,2 ;0,4 ;15,5 ;0,2 ;14,5 ;0,2 ;14,4 ;0,4 ;14,0 ;0,9 
2019;Thurgau;13,6 ;0,2 ;17,4 ;1,9 ;14,3 ;0,7 ;14,0 ;0,3 ;13,3 ;0,3 ;12,3 ;0,5 ;11,8 ;1,0 
2019;Tessin;13,8 ;0,1 ;12,8 ;0,8 ;13,9 ;0,4 ;13,7 ;0,2 ;13,8 ;0,3 ;13,8 ;0,6 ;14,8 ;1,4 
2019;Waadt;17,6 ;0,1 ;22,3 ;0,7 ;19,1 ;0,3 ;17,4 ;0,1 ;16,7 ;0,2 ;16,2 ;0,3 ;17,4 ;1,0 
2019;Wallis;13,9 ;0,2 ;16,6 ;1,6 ;15,0 ;0,6 ;14,0 ;0,3 ;13,2 ;0,3 ;12,4 ;0,7 ;(13,8) ;(1,9) 
2019;Neuenburg;12,6 ;0,1 ;14,5 ;1,2 ;13,0 ;0,4 ;12,3 ;0,2 ;12,4 ;0,2 ;13,0 ;0,5 ;14,7 ;1,6 
2019;Genf;19,5 ;0,2 ;21,3 ;1,1 ;20,4 ;0,5 ;19,5 ;0,3 ;19,0 ;0,3 ;18,6 ;0,4 ;21,2 ;1,1 
2019;Jura;11,8 ;0,4 ;(11,2) ;(2,2) ;13,7 ;1,5 ;11,5 ;0,6 ;12,0 ;0,6 ;10,5 ;1,0 ;(13,8) ;(2,2) 
2018;Schweiz;16,2 ;0,0 ;19,2 ;0,4 ;17,7 ;0,1 ;16,3 ;0,1 ;15,5 ;0,1 ;15,3 ;0,1 ;16,3 ;0,3 
2018;Zürich;19,1 ;0,1 ;22,7 ;1,0 ;21,0 ;0,3 ;19,1 ;0,2 ;18,0 ;0,1 ;18,0 ;0,3 ;18,9 ;0,9 
2018;Bern;14,7 ;0,1 ;16,3 ;0,9 ;15,9 ;0,3 ;14,8 ;0,1 ;14,1 ;0,2 ;13,6 ;0,4 ;14,4 ;0,9 
2018;Luzern;15,1 ;0,1 ;19,1 ;1,4 ;17,1 ;0,5 ;15,6 ;0,2 ;14,4 ;0,1 ;14,1 ;0,4 ;13,9 ;0,7 
2018;Uri;13,1 ;0,4 ;(15,8) ;(6,4) ;(14,6) ;(1,5) ;13,4 ;0,8 ;12,6 ;0,6 ;12,4 ;1,3 ;(14,5) ;(2,4) 
2018;Schwyz;16,8 ;0,3 ;(18,3) ;(3,1) ;18,5 ;1,4 ;16,5 ;0,6 ;16,5 ;0,5 ;16,5 ;1,0 ;17,3 ;2,0 
2018;Obwalden;13,7 ;0,6 ;(13,2) ;(7,3) ;15,3 ;1,8 ;14,2 ;1,1 ;13,7 ;0,7 ;12,4 ;1,1 ;(10,4) ;(3,6) 
2018;Nidwalden;15,8 ;0,5 ;(21,2) ;(4,8) ;(18,6) ;(1,3) ;15,7 ;1,0 ;15,4 ;0,7 ;14,7 ;1,7 ;(15,5) ;(2,0) 
2018;Glarus;12,8 ;0,5 ;(16,8) ;(2,7) ;15,6 ;1,8 ;13,1 ;0,8 ;12,5 ;0,8 ;(9,8) ;(1,5) ;(12,3) ;(5,0) 
2018;Zug;19,4 ;0,2 ;21,5 ;2,4 ;21,5 ;0,8 ;19,8 ;0,4 ;18,6 ;0,3 ;18,8 ;0,6 ;20,3 ;1,7 
2018;Freiburg;14,6 ;0,2 ;18,0 ;1,7 ;16,5 ;0,7 ;14,7 ;0,3 ;13,8 ;0,3 ;13,4 ;0,6 ;12,4 ;1,2 
2018;Solothurn;13,5 ;0,2 ;15,5 ;1,8 ;14,6 ;0,6 ;13,3 ;0,3 ;13,3 ;0,3 ;12,8 ;0,7 ;(14,5) ;(1,7) 
2018;Basel-Stadt;18,0 ;0,2 ;20,1 ;1,2 ;18,8 ;0,5 ;17,4 ;0,3 ;17,3 ;0,4 ;19,3 ;0,9 ;21,3 ;2,1 
2018;Basel-Landschaft;16,8 ;0,2 ;19,8 ;2,4 ;17,6 ;0,8 ;16,9 ;0,3 ;16,4 ;0,3 ;15,7 ;0,9 ;17,6 ;2,3 
2018;Schaffhausen;13,4 ;0,3 ;(17,3) ;(4,1) ;14,8 ;1,1 ;13,5 ;0,5 ;13,1 ;0,4 ;12,1 ;1,0 ;(13,4) ;(2,8) 
2018;Appenzell A.Rh.;13,0 ;0,5 ;(11,5) ;(3,4) ;15,8 ;1,6 ;12,8 ;1,0 ;12,8 ;0,8 ;12,8 ;1,4 ;(11,5) ;(1,9) 
